evaluator,model,language,answer_format,N,observed,correct,conditional_accuracy,correct_delivery,bound_low,bound_high,prefix_present,marker_present,ok,answer_unparseable,generation_truncated,generation_failed
marker_line,Qwen/Qwen2.5-7B-Instruct,en,clause_removed,136,136,125,0.9191176470588235,0.9191176470588235,0.9191176470588235,0.9191176470588235,136,136,136,0,0,0
marker_line,Qwen/Qwen2.5-7B-Instruct,en,minimal,136,135,127,0.9407407407407408,0.9338235294117647,0.9338235294117647,0.9411764705882353,135,135,135,0,1,0
marker_line,Qwen/Qwen2.5-7B-Instruct,en,restrictive,136,136,26,0.19117647058823528,0.19117647058823528,0.19117647058823528,0.19117647058823528,0,136,136,0,0,0
marker_line,Qwen/Qwen2.5-7B-Instruct,en,scope_explicit,136,136,119,0.875,0.875,0.875,0.875,136,136,136,0,0,0
marker_line,Qwen/Qwen2.5-7B-Instruct,es,clause_removed,136,133,113,0.849624060150376,0.8308823529411765,0.8308823529411765,0.8529411764705882,135,135,133,2,1,0
marker_line,Qwen/Qwen2.5-7B-Instruct,es,minimal,136,135,112,0.8296296296296296,0.8235294117647058,0.8235294117647058,0.8308823529411765,135,135,135,0,1,0
marker_line,Qwen/Qwen2.5-7B-Instruct,es,restrictive,136,136,28,0.20588235294117646,0.20588235294117646,0.20588235294117646,0.20588235294117646,0,136,136,0,0,0
marker_line,Qwen/Qwen2.5-7B-Instruct,es,scope_explicit,136,135,108,0.8,0.7941176470588235,0.7941176470588235,0.8014705882352942,134,136,135,1,0,0
marker_line,Qwen/Qwen2.5-7B-Instruct,zh,clause_removed,136,127,80,0.6299212598425197,0.5882352941176471,0.5882352941176471,0.6544117647058824,88,136,127,8,1,0
marker_line,Qwen/Qwen2.5-7B-Instruct,zh,minimal,136,126,92,0.7301587301587301,0.6764705882352942,0.6764705882352942,0.75,82,136,126,10,0,0
marker_line,Qwen/Qwen2.5-7B-Instruct,zh,restrictive,136,134,15,0.11194029850746269,0.11029411764705882,0.11029411764705882,0.125,0,136,134,2,0,0
marker_line,Qwen/Qwen2.5-7B-Instruct,zh,scope_explicit,136,136,59,0.4338235294117647,0.4338235294117647,0.4338235294117647,0.4338235294117647,69,136,136,0,0,0
marker_line,mistralai/Mistral-7B-Instruct-v0.3,en,clause_removed,136,11,4,0.36363636363636365,0.029411764705882353,0.029411764705882353,0.9485294117647058,133,133,11,122,3,0
marker_line,mistralai/Mistral-7B-Instruct-v0.3,en,minimal,136,1,0,0.0,0.0,0.0,0.9926470588235294,136,136,1,135,0,0
marker_line,mistralai/Mistral-7B-Instruct-v0.3,en,restrictive,136,128,72,0.5625,0.5294117647058824,0.5294117647058824,0.5882352941176471,134,134,128,6,2,0
marker_line,mistralai/Mistral-7B-Instruct-v0.3,en,scope_explicit,136,124,66,0.532258064516129,0.4852941176470588,0.4852941176470588,0.5735294117647058,133,133,124,10,2,0
marker_line,mistralai/Mistral-7B-Instruct-v0.3,es,clause_removed,136,35,15,0.42857142857142855,0.11029411764705882,0.11029411764705882,0.8529411764705882,134,134,35,99,2,0
marker_line,mistralai/Mistral-7B-Instruct-v0.3,es,minimal,136,49,21,0.42857142857142855,0.15441176470588236,0.15441176470588236,0.7941176470588235,131,131,49,82,5,0
marker_line,mistralai/Mistral-7B-Instruct-v0.3,es,restrictive,136,114,46,0.40350877192982454,0.3382352941176471,0.3382352941176471,0.5,130,132,114,17,5,0
marker_line,mistralai/Mistral-7B-Instruct-v0.3,es,scope_explicit,136,116,39,0.33620689655172414,0.2867647058823529,0.2867647058823529,0.4338235294117647,135,135,116,18,2,0
marker_line,mistralai/Mistral-7B-Instruct-v0.3,zh,clause_removed,136,121,50,0.4132231404958678,0.36764705882352944,0.36764705882352944,0.47794117647058826,135,135,121,13,2,0
marker_line,mistralai/Mistral-7B-Instruct-v0.3,zh,minimal,136,70,36,0.5142857142857142,0.2647058823529412,0.2647058823529412,0.75,134,134,70,64,2,0
marker_line,mistralai/Mistral-7B-Instruct-v0.3,zh,restrictive,136,126,58,0.4603174603174603,0.4264705882352941,0.4264705882352941,0.5,131,131,126,5,5,0
marker_line,mistralai/Mistral-7B-Instruct-v0.3,zh,scope_explicit,136,114,42,0.3684210526315789,0.3088235294117647,0.3088235294117647,0.47058823529411764,134,134,114,19,3,0
strict,Qwen/Qwen2.5-7B-Instruct,en,clause_removed,136,136,125,0.9191176470588235,0.9191176470588235,0.9191176470588235,0.9191176470588235,136,136,136,0,0,0
strict,Qwen/Qwen2.5-7B-Instruct,en,minimal,136,135,127,0.9407407407407408,0.9338235294117647,0.9338235294117647,0.9411764705882353,135,135,135,0,1,0
strict,Qwen/Qwen2.5-7B-Instruct,en,restrictive,136,136,26,0.19117647058823528,0.19117647058823528,0.19117647058823528,0.19117647058823528,0,136,136,0,0,0
strict,Qwen/Qwen2.5-7B-Instruct,en,scope_explicit,136,136,119,0.875,0.875,0.875,0.875,136,136,136,0,0,0
strict,Qwen/Qwen2.5-7B-Instruct,es,clause_removed,136,133,113,0.849624060150376,0.8308823529411765,0.8308823529411765,0.8529411764705882,135,135,133,2,1,0
strict,Qwen/Qwen2.5-7B-Instruct,es,minimal,136,135,112,0.8296296296296296,0.8235294117647058,0.8235294117647058,0.8308823529411765,135,135,135,0,1,0
strict,Qwen/Qwen2.5-7B-Instruct,es,restrictive,136,136,28,0.20588235294117646,0.20588235294117646,0.20588235294117646,0.20588235294117646,0,136,136,0,0,0
strict,Qwen/Qwen2.5-7B-Instruct,es,scope_explicit,136,135,108,0.8,0.7941176470588235,0.7941176470588235,0.8014705882352942,134,136,135,1,0,0
strict,Qwen/Qwen2.5-7B-Instruct,zh,clause_removed,136,105,77,0.7333333333333333,0.5661764705882353,0.5661764705882353,0.7941176470588235,88,136,105,30,1,0
strict,Qwen/Qwen2.5-7B-Instruct,zh,minimal,136,122,92,0.7540983606557377,0.6764705882352942,0.6764705882352942,0.7794117647058824,82,136,122,14,0,0
strict,Qwen/Qwen2.5-7B-Instruct,zh,restrictive,136,134,15,0.11194029850746269,0.11029411764705882,0.11029411764705882,0.125,0,136,134,2,0,0
